h3,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
891e064da4bffff,0,0,0,0,0,0,1,1,0,0
891e064da4fffff,0,0,0,0,0,0,0,0,1,1
891e064da53ffff,0,0,0,0,0,0,0,0,0,0
891e064da57ffff,0,0,0,0,0,0,0,0,0,0
891e064da5bffff,0,0,0,0,0,0,0,0,0,0
891e064da63ffff,0,0,0,0,0,0,0,0,0,0
891e064da67ffff,0,0,0,0,0,0,0,0,0,0
891e064da6bffff,0,1,1,1,1,1,1,1,1,1
891e064da6fffff,0,0,0,0,0,0,1,0,0,0
891e064da73ffff,0,0,0,0,0,0,0,0,0,0
891e064da77ffff,0,0,0,0,0,0,0,0,0,0
891e064da7bffff,0,0,0,0,0,0,0,0,0,0
891e064da83ffff,1,1,2,2,1,2,1,1,1,0
891e064da87ffff,0,0,0,0,0,0,0,0,0,0
891e064da8bffff,1,2,3,1,2,1,1,1,1,0
891e064da8fffff,1,1,1,2,2,2,3,2,2,2
891e064da93ffff,0,0,0,0,0,0,0,0,0,0
891e064da97ffff,1,1,1,0,0,0,0,0,0,0
891e064da9bffff,0,0,0,0,0,0,0,0,0,0
891e064daa3ffff,0,0,0,0,0,0,0,0,0,0
891e064daa7ffff,0,0,0,1,1,1,1,1,1,1
891e064daabffff,0,0,0,0,0,0,0,3,3,0
891e064daafffff,0,0,1,0,0,0,0,0,0,0
891e064dab3ffff,1,1,1,0,0,0,0,0,0,0
891e064dab7ffff,0,0,0,0,0,0,0,0,0,0
891e064dabbffff,0,0,0,0,0,0,0,5,4,1
891e064dac3ffff,0,0,0,0,0,0,0,0,0,0
891e064dac7ffff,0,0,0,1,1,1,0,0,0,0
891e064dacbffff,0,0,0,0,0,0,0,0,0,0
891e064dacfffff,0,0,0,0,0,0,0,0,0,0
891e064dad3ffff,0,0,0,0,1,0,0,1,1,0
891e064dad7ffff,0,0,1,1,0,0,0,0,0,0
891e064dadbffff,0,0,0,0,0,0,0,0,0,0
891e064db03ffff,3,4,4,3,4,4,4,5,5,4
891e064db07ffff,0,0,0,1,1,2,2,1,0,0
891e064db0bffff,0,0,0,0,0,0,0,0,0,0
891e064db0fffff,1,0,0,0,1,0,0,0,1,0
891e064db13ffff,2,2,1,3,2,1,2,6,5,2
891e064db17ffff,10,11,11,10,1,0,0,0,0,0
891e064db1bffff,0,0,0,0,0,0,0,0,0,0
891e064db23ffff,1,3,4,4,8,8,6,7,8,9
891e064db27ffff,2,3,2,2,1,0,0,2,2,3
